instance, k, h, cost, gt, optimal, time
10, 1, 0.2, 1937, 1936, 0, 0.503063
10, 1, 0.4, 1031, 1025, 0, 0.276804
10, 1, 0.6, 888, 841, 1, 0.169992
10, 1, 0.8, 881, 818, 1, 0.185966
10, 2, 0.2, 1106, 1042, 0, 0.159025
10, 2, 0.4, 639, 615, 1, 0.183821
10, 2, 0.6, 664, 615, 1, 0.158787
10, 2, 0.8, 664, 615, 1, 0.155926
10, 3, 0.2, 1731, 1586, 0, 0.163078
10, 3, 0.4, 972, 917, 0, 0.156164
10, 3, 0.6, 793, 793, 1, 0.150204
10, 3, 0.8, 793, 793, 1, 0.342131
10, 4, 0.2, 2183, 2139, 0, 0.28801
10, 4, 0.4, 1251, 1230, 0, 0.163794
10, 4, 0.6, 815, 815, 1, 0.169992
10, 4, 0.8, 829, 803, 0, 0.15378
10, 5, 0.2, 1214, 1187, 0, 0.152111
10, 5, 0.4, 914, 630, 0, 0.143766
10, 5, 0.6, 601, 521, 1, 0.311852
10, 5, 0.8, 601, 521, 1, 0.231981
10, 6, 0.2, 1548, 1521, 0, 0.173092
10, 6, 0.4, 922, 908, 1, 0.159979
10, 6, 0.6, 775, 755, 1, 0.158072
10, 6, 0.8, 796, 755, 1, 0.159979
10, 7, 0.2, 2339, 2170, 0, 0.165939
10, 7, 0.4, 1678, 1374, 1, 0.456095
10, 7, 0.6, 1308, 1101, 0, 0.452757
10, 7, 0.8, 1237, 1083, 1, 0.277996
10, 8, 0.2, 1734, 1720, 0, 0.280142
10, 8, 0.4, 1020, 1020, 0, 0.267982
10, 8, 0.6, 610, 610, 1, 0.271082
10, 8, 0.8, 583, 540, 1, 0.269175
10, 9, 0.2, 1749, 1574, 0, 0.503063
10, 9, 0.4, 1151, 876, 1, 0.258684
10, 9, 0.6, 744, 582, 1, 0.195026
10, 9, 0.8, 622, 554, 1, 0.188112
10, 10, 0.2, 1955, 1869, 0, 0.190258
10, 10, 0.4, 1140, 1136, 0, 0.184059
10, 10, 0.6, 719, 710, 0, 0.172853
10, 10, 0.8, 719, 671, 1, 0.190973
20, 1, 0.2, 4562, 4431, 0, 0.345945
20, 1, 0.4, 3071, 3066, 0, 0.1297
20, 1, 0.6, 3077, 2986, 0, 0.12517
20, 1, 0.8, 3090, 2986, 0, 0.266075
20, 2, 0.2, 9021, 8567, 0, 0.344992
20, 2, 0.4, 5548, 4897, 0, 0.293016
20, 2, 0.6, 3386, 3260, 0, 0.236034
20, 2, 0.8, 3449, 2980, 0, 0.298738
20, 3, 0.2, 6338, 6331, 0, 0.984669
20, 3, 0.4, 4044, 3883, 0, 0.200987
20, 3, 0.6, 3583, 3600, 0, 0.156164
20, 3, 0.8, 3583, 3600, 0, 0.146866
20, 4, 0.2, 9425, 9478, 0, 0.435114
20, 4, 0.4, 5221, 5122, 0, 0.152111
20, 4, 0.6, 3345, 3336, 0, 0.114918
20, 4, 0.8, 3422, 3040, 0, 0.109196
20, 5, 0.2, 4411, 4340, 0, 0.101089
20, 5, 0.4, 2668, 2571, 0, 0.114202
20, 5, 0.6, 2512, 2206, 0, 0.15378
20, 5, 0.8, 2509, 2206, 0, 0.147104
20, 6, 0.2, 6995, 6766, 0, 0.187159
20, 6, 0.4, 3645, 3601, 0, 0.16284
20, 6, 0.6, 3403, 3016, 0, 0.159979
20, 6, 0.8, 4097, 3016, 0, 0.159979
20, 7, 0.2, 10735, 1110, 0, 0.181913
20, 7, 0.4, 6301, 16357, 0, 0.188828
20, 7, 0.6, 4148, 4175, 0, 0.590801
20, 7, 0.8, 4409, 3900, 0, 0.237703
