k = 1       42,363      24,868      17,990      17,990
k = 2       33,637      19,279      14,231      14,132
k = 3       37,641      21,353      16,497      16,497
k = 4       30,166      17,495      14,105      14,105
k = 5       32,604      18,441      14,650      14,650
k = 6       36,920      21,497      14,251      14,075
k = 7       44,277      23,883      17,715      17,715
k = 8       46,065      25,402      21,367      21,367
k = 9       36,397      21,929      14,298      13,952
k = 10      35,797      20,048      14,377      14,377
