k = 1       526,666     301,449     254,268     254,268
k = 2       566,643     335,714     266,028     266,028
k = 3       529,919     308,278     254,647     254,647
k = 4       603,709     360,852     297,269     297,269
k = 5       547,953     322,268     260,455     260,455
k = 6       502,276     292,453     236,160     236,160
k = 7       479,651     279,576     247,555     247,555
k = 8       530,896     288,746     225,572     225,572
k = 9       575,353     331,107     255,029     255,029
k = 10      572,866     332,808     269,236     269,236
